cluster	entry_ID
338_0	338_0
338_0	485_0
338_0	4873_0
338_0	4968_0
338_0	5358_0
338_0	5359_0
338_0	BPTI
434_0	434_0
434_0	435_0
434_0	IL1B
447_0	447_0
968_0	968_0
968_0	969_0
968_0	970_0
968_0	971_0
968_0	4578_0
968_0	10132_0
968_0	10133_0
1657_0	1657_0
1657_0	4012_0
1657_0	50407_0
1657_0	50408_0
1657_0	51163_0
1657_0	RNASEHI
1658_0	1658_0
1672_0	1672_0
1672_0	4759_0
1672_0	6552_0
1672_0	6553_0
1672_0	6560_0
1673_0	1673_0
1812_0	1812_0
1812_0	1813_0
1812_0	17700_0
1812_0	TRX
2060_0	2060_0
2060_0	2371_0
2060_0	17274_1
2060_0	18379_1
2410_0	2410_0
2410_0	6612_0
2410_0	11569_0
2410_0	15945_0
2410_0	18876_0
2410_0	18755_0
2506_0	2506_0
2542_0	2542_0
2542_0	5123_0
2542_0	5124_0
2542_0	5125_0
2542_0	5130_0
2542_0	5142_0
3322_0	3322_0
3440_0	3440_0
3440_0	4083_0
3440_0	4472_0
3440_0	CHEY_CPMG
4001_0	4001_0
4001_0	4099_0
4001_0	4105_0
4001_0	5206_0
4001_0	5377_0
4001_0	5838_0
4001_0	5895_0
4001_0	18995_1
4001_0	27199_0
4011_0	4011_0
4011_0	11428_0
4029_0	4029_0
4029_0	4028_0
4035_0	4035_0
4036_0	4036_0
4037_0	4037_0
4038_0	4038_0
4039_0	4039_0
4039_0	4041_0
4039_0	4166_0
4039_0	4167_0
4039_0	15785_0
4039_0	15952_0
4040_0	4040_0
4042_0	4042_0
4044_0	4044_0
4045_0	4045_0
4046_0	4046_0
4047_0	4047_0
4049_0	4049_0
4050_0	4050_0
4050_0	4051_0
4050_0	5600_1
4055_0	4055_0
4055_0	4054_0
4061_0	4061_0
4061_0	4062_0
4061_0	4676_0
4061_0	4695_0
4061_0	5158_0
4061_0	16501_0
4063_0	4063_0
4064_0	4064_0
4065_0	4065_0
4068_0	4068_0
4068_0	4864_0
4068_0	4865_0
4068_0	5472_0
4068_0	5473_0
4068_0	5518_0
4068_0	5519_0
4068_0	5518
4069_0	4069_0
4069_0	4278_0
4069_0	4494_0
4069_0	15654_0
4069_0	34408_0
4070_0	4070_0
4076_0	4076_0
4076_0	4367_0
4078_0	4078_0
4079_0	4079_0
4079_0	11429_0
4079_0	11532_0
4079_0	18709_0
4079_0	HMG1A
4081_0	4081_0
4081_0	16677_0
4081_0	18135_0
4081_0	18344_0
4082_0	4082_0
4084_0	4084_0
4084_0	34079_0
4085_0	4085_0
4087_0	4087_0
4089_0	4089_0
4089_0	5404_0
4089_0	6142_0
4090_0	4090_0
4091_0	4091_0
4095_0	4095_0
4100_0	4100_0
4101_0	4101_0
4107_0	4107_0
4107_0	4108_0
4107_0	4296_0
4107_0	CSPA
4110_0	4110_0
4113_0	4113_0
4114_0	4114_0
4114_0	5517_0
4114_0	11584_0
4114_0	11585_0
4116_0	4116_0
4116_0	4115_0
4117_0	4117_0
4121_0	4121_0
4122_0	4122_0
4122_0	6581_0
4129_1	4129_1
4130_0	4130_0
4130_0	4131_0
4130_0	4602_0
4130_0	4803_0
4130_0	4804_0
4130_0	4805_0
4130_0	4806_0
4130_0	4807_0
4130_0	4808_0
4130_0	4809_0
4130_0	4810_0
4130_0	5745_0
4130_0	6921_0
4130_0	36070_0
4134_0	4134_0
4141_0	4141_0
4141_0	4368_0
4143_0	4143_0
4144_0	4144_0
4145_0	4145_0
4150_0	4150_0
4152_0	4152_0
4152_0	4193_0
4152_0	4350_0
4152_0	5720_0
4152_0	5746_0
4152_0	18683_0
4152_0	18686_0
4152_0	18687_0
4152_0	19089_0
4152_0	19090_0
4152_0	19091_0
4152_0	19092_0
4152_0	19093_0
4152_0	25353_0
4152_0	25357_0
4152_0	25360_0
4152_0	25361_0
4152_0	25628_0
4152_0	25629_0
4152_0	26999_0
4152_0	27000_0
4152_0	27001_0
4152_0	27004_0
4152_0	27005_0
4152_0	27007_0
4152_0	27008_0
4152_0	27010_0
4152_0	27954_0
4152_0	ECOADK
4154_0	4154_0
4154_0	4149_0
4156_0	4156_0
4158_0	4158_0
4162_0	4162_0
4165_0	4165_0
4165_0	4160_0
4168_0	4168_0
4171_0	4171_0
4171_1	4171_1
4173_0	4173_0
4173_0	4364_0
4173_0	5231_0
4173_0	15120_0
4173_0	15395_0
4173_0	15396_0
4174_0	4174_0
4174_0	18082_0
4174_0	18302_0
4174_0	27712_0
4184_0	4184_0
4184_0	4288_0
4184_0	15554_0
4188_0	4188_0
4197_0	4197_0
4197_0	4209_0
4197_0	5815_0
4197_0	17728_0
4197_0	19747_0
4197_0	26910_0
4198_0	4198_0
4199_0	4199_0
4202_0	4202_0
4202_0	15711_0
4202_0	15712_0
4202_0	15713_0
4202_0	15714_0
4202_0	18708_0
4202_0	18968_0
4202_0	19962_0
4202_0	25942_0
4202_0	26570_0
4205_0	4205_0
4206_0	4206_0
4214_0	4214_0
4215_0	4215_0
4216_0	4216_0
4217_0	4217_0
4222_0	4222_0
4222_0	27246_0
4222_0	4638_0
4222_0	5529_0
4222_0	27247_0
4223_0	4223_0
4224_0	4224_0
4227_0	4227_0
