cluster	entry_ID
338_0	338_0
338_0	485_0
338_0	4873_0
338_0	4968_0
338_0	5358_0
338_0	5359_0
338_0	BPTI
434_0	434_0
434_0	435_0
434_0	IL1B
968_0	968_0
968_0	969_0
968_0	970_0
968_0	971_0
968_0	4578_0
968_0	10132_0
968_0	10133_0
1657_0	1657_0
1657_0	4012_0
1657_0	50407_0
1657_0	50408_0
1657_0	51163_0
1657_0	RNASEHI
1658_0	1658_0
1812_0	1812_0
1812_0	1813_0
1812_0	17700_0
1812_0	TRX
2410_0	2410_0
2410_0	6612_0
2410_0	11569_0
2410_0	15945_0
2410_0	18876_0
2410_0	18755_0
2506_0	2506_0
3322_0	3322_0
3440_0	3440_0
3440_0	4083_0
3440_0	4472_0
3440_0	CHEY_CPMG
4040_0	4040_0
4042_0	4042_0
4044_0	4044_0
4045_0	4045_0
4047_0	4047_0
4050_0	4050_0
4050_0	4051_0
4050_0	5600_1
4068_0	4068_0
4068_0	4864_0
4068_0	4865_0
4068_0	5472_0
4068_0	5473_0
4068_0	5518_0
4068_0	5519_0
4068_0	5518
4069_0	4069_0
4069_0	4278_0
4069_0	4494_0
4069_0	15654_0
4069_0	34408_0
4070_0	4070_0
4076_0	4076_0
4076_0	4367_0
4078_0	4078_0
4079_0	4079_0
4079_0	11429_0
4079_0	11532_0
4079_0	18709_0
4079_0	HMG1A
4089_0	4089_0
4089_0	5404_0
4089_0	6142_0
4090_0	4090_0
4107_0	4107_0
4107_0	4108_0
4107_0	4296_0
4107_0	CSPA
4110_0	4110_0
4116_0	4116_0
4116_0	4115_0
4117_0	4117_0
4121_0	4121_0
4130_0	4130_0
4130_0	4131_0
4130_0	4602_0
4130_0	4803_0
4130_0	4804_0
4130_0	4805_0
4130_0	4806_0
4130_0	4807_0
4130_0	4808_0
4130_0	4809_0
4130_0	4810_0
4130_0	5745_0
4130_0	6921_0
4130_0	36070_0
4144_0	4144_0
4152_0	4152_0
4152_0	4193_0
4152_0	4350_0
4152_0	5720_0
4152_0	5746_0
4152_0	18683_0
4152_0	18686_0
4152_0	18687_0
4152_0	19089_0
4152_0	19090_0
4152_0	19091_0
4152_0	19092_0
4152_0	19093_0
4152_0	25353_0
4152_0	25357_0
4152_0	25360_0
4152_0	25361_0
4152_0	25628_0
4152_0	25629_0
4152_0	26999_0
4152_0	27000_0
4152_0	27001_0
4152_0	27004_0
4152_0	27005_0
4152_0	27007_0
4152_0	27008_0
4152_0	27010_0
4152_0	27954_0
4152_0	ECOADK
4158_0	4158_0
4165_0	4165_0
4165_0	4160_0
4199_0	4199_0
4206_0	4206_0
4215_0	4215_0
4217_0	4217_0
4223_0	4223_0
4236_0	4236_0
4237_0	4237_0
4249_0	4249_0
4249_0	27131_0
4256_0	4256_0
4256_0	4254_0
4262_0	4262_0
4262_0	5396_0
4262_0	7196_0
4262_0	7199_0
4262_0	7200_0
4262_0	17125_0
4262_0	17310_0
4262_0	17311_0
4265_0	4265_0
4297_0	4297_0
4297_0	4075_0
4297_0	5122_0
4301_0	4301_0
4302_0	4302_0
4302_0	11114_0
4318_0	4318_0
4321_0	4321_0
4329_0	4329_0
4331_0	4331_0
4334_0	4334_0
4345_0	4345_0
4345_0	4339_0
4348_0	4348_0
4352_0	4352_0
4352_0	4293_0
4369_0	4369_0
4373_0	4373_0
4374_0	4374_0
4376_0	4376_0
4378_0	4378_0
4378_0	6942_0
4378_0	16334_0
4378_0	16726_0
4382_0	4382_0
4391_0	4391_0
4394_0	4394_0
4395_0	4395_0
4396_0	4396_0
4402_0	4402_0
4402_0	26958_0
4402_0	51006_0
4402_0	51007_0
4405_0	4405_0
4411_0	4411_0
4424_0	4424_0
4428_0	4428_0
4428_0	17698_0
4428_0	VILHP
4431_0	4431_0
4437_0	4437_0
4438_0	4438_0
4449_0	4449_0
4452_0	4452_0
4454_1	4454_1
4486_0	4486_0
4497_0	4497_0
4497_0	4599_0
4497_0	27395_0
4497_0	36077_0
4497_0	36078_0
4510_0	4510_0
4519_0	4519_0
4527_0	4527_0
4527_0	4528_0
4527_0	5303_0
4527_0	25124_0
4527_0	25125_0
4527_0	4762
4559_0	4559_0
4560_0	4560_0
4571_0	4571_0
4590_0	4590_0
4593_0	4593_0
4600_0	4600_0
4600_0	4498_0
4619_0	4619_0
4622_0	4622_0
4648_0	4648_0
4674_0	4674_0
4677_0	4677_0
4678_0	4678_0
4680_0	4680_0
4688_0	4688_0
4689_0	4689_0
4689_0	25029_0
4689_0	4689
4697_0	4697_0
4700_1	4700_1
4704_0	4704_0
4716_0	4716_0
4717_0	4717_0
4727_0	4727_0
4729_0	4729_0
4740_0	4740_0
4742_0	4742_0
4742_0	4588_0
4758_0	4758_0
4765_0	4765_0
4768_0	4768_0
4768_0	18615_0
4773_0	4773_0
4775_0	4775_0
4777_0	4777_0
4777_0	4471_0
4782_0	4782_0
4784_0	4784_0
4786_0	4786_0
4786_0	4785_0
4787_0	4787_0
4791_0	4791_0
4792_0	4792_0
4797_0	4797_0
4818_0	4818_0
4819_0	4819_0
4833_0	4833_0
4834_0	4834_0
4840_0	4840_0
4843_0	4843_0
4843_0	5004_0
4843_0	IL13
4870_0	4870_0
4870_0	15930_0
